name,frequency
#Oscars2015,279
#Daytona500,194
Neil Patrick Harris,102
Patricia Arquette,88
Waffle House,82
Walmart,81
The Duff,67
Julie Andrews,52
#TheTitleOfMySexTape,41
JK Simmons,40
Winston,40
#NashOnTheView,30
Joey Logano,29
#HappyAnniversaryLarry,26
The Oscars,26
#WWEFastLane,25
Xbox,24
Sean Penn,21
#NASCAR,20
#OscarsRedCarpet,20
#NeverBeAloneMusicVideo,19
Rinaldo,18
#JACOBMERCHAF,16
#ERedCarpet,15
Lady Gaga,15
#AskHerMore,12
#CasparLeeLive,12
Everything is Awesome,12
UC Davis,12
Zoe Saldana,12
#BeatOhio,11
Spurs,10
Taking Back Sunday,10
Turnt,10
#8morecampuses,9
#CapsFlyers,9
#FacetoFace,9
#HockeyDayInAmerica,9
#RomanvsBryan,9
#UWMdragshow,9
Jarell Martin,9
Selena,9
State,9
Tallahassee,9
Tarzan,9
Auburn,8
Chris Jones,8
Richmond,8
West Linn,8
#MiracleOnIce,7
Adam Levine,7
Chris Pine,7
Staal,7
THON,7
Tim McGraw,7
Toni,7
#BieberEvolution,6
#CenaVsRusev,6
#DbacksFanFest,6
#DontDateSJWs,6
#FAMUPageant2k15,6
#jacobhasacoolep,6
#LetsPlayLive,6
#PORatUTA,6
#RBDFOREVER,6
#RedCarpetOscar,6
#youngandcrazy,6
Bucks,6
Japan TV,6
Logano,6
Oscars,6
Scandal,6
Skype,6
SXSW,6
Tacoma,6
Vic Beasley,6
#EverythingIsAwesome,5
#IndvsSA,5
#MayweatherPacquiao,5
#Oscar2015,5
#Oscars,5
#ThunderUp,5
#TWDTogether,5
Amir Williams,5
Bosh,5
Bruins,5
Eddie Redmayne,5
Jack Black,5
John Legend and Common,5
Round 11,5
Sharks,5
Shirley MacLaine,5
St. Louis,5
Tally,5
Tim Miles,5
UTSA,5
Wright State,5
#BamaHoops,4
#BringIt,4
#cowx,4
#Glory,4
#HeatNation,4
#NFLCombine,4
Chloe Grace Moretz,4
Marcus Lee,4
Naomi Watts,4
Pens,4
Perk,4
SAFER,4
SDCC,4
Towson,4
Travis Scott,4
Visual Effects,4
Worth It,4
Xavier,4
Zags,4
#939BTSUPGRADE,3
#BetterThanTheKnicks,3
#BuyComeHomeToMeOniTunes,3
#CHIvsBOS,3
#FullSailOscars,3
#GoBlue,3
#HonestHour,3
#StadiumSeries,3
Carcillo,3
Daytona 500,3
Feast,3
Harrell,3
Meryl,3
Mickey Bell,3
Sunday Funday,3
The Fault In Our Stars,3
Trap Queen,3
U of M,3
UMass,3
UTEP,3
Utes,3
Wolfson,3
Woody Durham,3
#AcademyAwards,2
#AskAndrew,2
#bringit,2
#ConLife,2
#COwx,2
#DonateToTrevor,2
#LHMomentum,2
#NOAH2Nashvilles,2
#vote5sos,2
Anna Kendrick,2
Dakota Johnson,2
Dillon Brooks,2
Kanter,2
Kanye,2
Kendrick Perkins,2
Kindl,2
Kyle Busch,2
Pelicans,2
Rosamund Pike,2
Sweet,2
Thad,2
The Bruins,2
The Knicks,2
The Tide,2
Thought,2
Thunder,2
Tide,2
Tony Delk,2
Travolta,2
Tuscaloosa,2
UMASS,2
Venezuela,2
Votto,2
Winter Jam,2
#5SOSINJAPAN,1
#Birdman,1
#conlife,1
#FemaleFounders,1
#FlaPanthers,1
#gotigersgo,1
#Gotigersgo,1
#GoTigersGo,1
#GreenWall,1
#htgawm,1
#JACOBMERCH,1
#L2E2015,1
#MessUpACelebritiesName,1
#noah2nashvilles,1
#PORvsMEM,1
#ryanbeattychicago,1
#RYANBEATTYCHICAGO,1
#UFCPOA,1
#VoteFifthHarmony,1
Blackhawks,1
Cavs,1
Corey Brewer,1
Del Zotto,1
Eagle Alert,1
Ellis,1
Heat,1
Isco,1
Jared Leto,1
Jennifer Hudson,1
Jordan Staal,1
JR Smith,1
Kings,1
Knicks,1
Margot Robbie,1
Melanie Griffith,1
Perkins,1
Pitino,1
Reese Witherspoon,1
Roy Williams,1
Sam Presti,1
Santa Cruz,1
Southampton,1
Stars,1
STATE,1
Stockton,1
Sutter,1
Tempe,1
Texas Mardi Gras,1
The Lonely Island,1
Thon,1
Tom Wilson,1
Troy,1
Two Sentence Short Stories,1
UCLA,1
UConn,1
UTES,1
West Bank,1
West Ham,1
Westport,1
Whiplash,1
Wizards,1
